"fips","SCC","Pollutant","Emissions","type","year"
"06037","30700403","PM25-PRI",0.407,"POINT",1999
"06037","30700801","PM25-PRI",1.554,"POINT",1999
"06037","30701201","PM25-PRI",0.36,"POINT",1999
"06037","30701399","PM25-PRI",0.037,"POINT",1999
"06037","30702099","PM25-PRI",0.245,"POINT",1999
"06037","30788801","PM25-PRI",1.035,"POINT",1999
"06037","30790003","PM25-PRI",3.015,"POINT",1999
"06037","30800701","PM25-PRI",0.396,"POINT",1999
"06037","30800799","PM25-PRI",2.687,"POINT",1999
"06037","30800801","PM25-PRI",3.544,"POINT",1999
"06037","30800802","PM25-PRI",1.416,"POINT",1999
"06037","30805010","PM25-PRI",0.009,"POINT",1999
"06037","30805015","PM25-PRI",0.09,"POINT",1999
"06037","30805016","PM25-PRI",0.054,"POINT",1999
"06037","30805099","PM25-PRI",0.018,"POINT",1999
"06037","30890003","PM25-PRI",1.235,"POINT",1999
"06037","30900199","PM25-PRI",0.212,"POINT",1999
"06037","30900201","PM25-PRI",94.539,"POINT",1999
"06037","30901001","PM25-PRI",9.377,"POINT",1999
"06037","30901002","PM25-PRI",0.319,"POINT",1999
"06037","30901003","PM25-PRI",0.442,"POINT",1999
"06037","30901104","PM25-PRI",0.025,"POINT",1999
"06037","30903005","PM25-PRI",0.834,"POINT",1999
"06037","30906001","PM25-PRI",0.017,"POINT",1999
"06037","30906002","PM25-PRI",0.211,"POINT",1999
"06037","30906006","PM25-PRI",0.472,"POINT",1999
"06037","30906099","PM25-PRI",1.012,"POINT",1999
"06037","30990003","PM25-PRI",0.134,"POINT",1999
"06037","30990013","PM25-PRI",0.015,"POINT",1999
"06037","31000199","PM25-PRI",7.872,"POINT",1999
"06037","31000404","PM25-PRI",3.691,"POINT",1999
"06037","31100102","PM25-PRI",0.072,"POINT",1999
"06037","31390003","PM25-PRI",0.06,"POINT",1999
"06037","31499999","PM25-PRI",1.175,"POINT",1999
"06037","33000199","PM25-PRI",0.198,"POINT",1999
"06037","33000305","PM25-PRI",0.138,"POINT",1999
"06037","33000399","PM25-PRI",0.11,"POINT",1999
"06037","33088801","PM25-PRI",4.26,"POINT",1999
"06037","39000602","PM25-PRI",3.254,"POINT",1999
"06037","39000603","PM25-PRI",0.027,"POINT",1999
"06037","39000689","PM25-PRI",8.972,"POINT",1999
"06037","39000699","PM25-PRI",1.082,"POINT",1999
"06037","39001089","PM25-PRI",0.23,"POINT",1999
"06037","39990003","PM25-PRI",59.226,"POINT",1999
"06037","39990013","PM25-PRI",0.726,"POINT",1999
"06037","39990023","PM25-PRI",0.302,"POINT",1999
"06037","39999993","PM25-PRI",14.22,"POINT",1999
"06037","39999995","PM25-PRI",0.05,"POINT",1999
"06037","40201001","PM25-PRI",4.247,"POINT",1999
"06037","40201399","PM25-PRI",2.3,"POINT",1999
"06037","40206010","PM25-PRI",2.05,"POINT",1999
"06037","40290013","PM25-PRI",14.169,"POINT",1999
"06037","40299995","PM25-PRI",9.55,"POINT",1999
"06037","40899997","PM25-PRI",28.9,"POINT",1999
"06037","49000499","PM25-PRI",0.02,"POINT",1999
"06037","50100101","PM25-PRI",9.753,"POINT",1999
"06037","50190006","PM25-PRI",3.344,"POINT",1999
