"fips","SCC","Pollutant","Emissions","type","year"
"06037","2230072110","PM25-PRI",0.81,"ON-ROAD",1999
"06037","2230072130","PM25-PRI",1.35,"ON-ROAD",1999
"06037","2230072150","PM25-PRI",0.77,"ON-ROAD",1999
"06037","2230072170","PM25-PRI",0.76,"ON-ROAD",1999
"06037","2230072190","PM25-PRI",0.33,"ON-ROAD",1999
"06037","2230072210","PM25-PRI",0.28,"ON-ROAD",1999
"06037","2230072230","PM25-PRI",33.35,"ON-ROAD",1999
"06037","2230072250","PM25-PRI",19.51,"ON-ROAD",1999
"06037","2230072270","PM25-PRI",31.08,"ON-ROAD",1999
"06037","2230072290","PM25-PRI",21.57,"ON-ROAD",1999
"06037","2230072310","PM25-PRI",5.1,"ON-ROAD",1999
"06037","2230072330","PM25-PRI",9.87,"ON-ROAD",1999
"06037","2230073110","PM25-PRI",1.92,"ON-ROAD",1999
"06037","2230073130","PM25-PRI",3.2,"ON-ROAD",1999
"06037","2230073150","PM25-PRI",1.83,"ON-ROAD",1999
"06037","2230073170","PM25-PRI",1.8,"ON-ROAD",1999
"06037","2230073190","PM25-PRI",0.77,"ON-ROAD",1999
"06037","2230073210","PM25-PRI",0.66,"ON-ROAD",1999
"06037","2230073230","PM25-PRI",78.95,"ON-ROAD",1999
"06037","2230073250","PM25-PRI",46.19,"ON-ROAD",1999
"06037","2230073270","PM25-PRI",73.56,"ON-ROAD",1999
"06037","2230073290","PM25-PRI",51.05,"ON-ROAD",1999
"06037","2230073310","PM25-PRI",12.07,"ON-ROAD",1999
"06037","2230073330","PM25-PRI",23.35,"ON-ROAD",1999
"06037","2230074110","PM25-PRI",8.37,"ON-ROAD",1999
"06037","2230074130","PM25-PRI",13.95,"ON-ROAD",1999
"06037","2230074150","PM25-PRI",7.99,"ON-ROAD",1999
"06037","2230074170","PM25-PRI",7.85,"ON-ROAD",1999
"06037","2230074190","PM25-PRI",3.35,"ON-ROAD",1999
"06037","2230074210","PM25-PRI",2.9,"ON-ROAD",1999
"06037","2230074230","PM25-PRI",222.61,"ON-ROAD",1999
"06037","2230074250","PM25-PRI",130.24,"ON-ROAD",1999
"06037","2230074270","PM25-PRI",207.43,"ON-ROAD",1999
"06037","2230074290","PM25-PRI",143.96,"ON-ROAD",1999
"06037","2230074310","PM25-PRI",34.04,"ON-ROAD",1999
"06037","2230074330","PM25-PRI",65.84,"ON-ROAD",1999
"06037","2230075110","PM25-PRI",0.37,"ON-ROAD",1999
"06037","2230075130","PM25-PRI",0.61,"ON-ROAD",1999
"06037","2230075150","PM25-PRI",0.35,"ON-ROAD",1999
"06037","2230075170","PM25-PRI",0.34,"ON-ROAD",1999
"06037","2230075190","PM25-PRI",0.15,"ON-ROAD",1999
"06037","2230075210","PM25-PRI",0.13,"ON-ROAD",1999
"06037","2230075230","PM25-PRI",10.16,"ON-ROAD",1999
"06037","2230075250","PM25-PRI",5.94,"ON-ROAD",1999
"06037","2230075270","PM25-PRI",9.47,"ON-ROAD",1999
"06037","2230075290","PM25-PRI",6.57,"ON-ROAD",1999
"06037","2230075310","PM25-PRI",1.55,"ON-ROAD",1999
"06037","2230075330","PM25-PRI",3,"ON-ROAD",1999
"06037","2260002000","PM25-PRI",0.61,"NON-ROAD",1999
"06037","2260004000","PM25-PRI",53.04,"NON-ROAD",1999
"06037","2260006000","PM25-PRI",4.01,"NON-ROAD",1999
"06037","2265001030","PM25-PRI",12.78,"NON-ROAD",1999
"06037","2265002000","PM25-PRI",26.24,"NON-ROAD",1999
"06037","2265003000","PM25-PRI",9.45,"NON-ROAD",1999
"06037","2265003060","PM25-PRI",161.59,"NON-ROAD",1999
"06037","2265004000","PM25-PRI",43.16,"NON-ROAD",1999
"06037","2265005000","PM25-PRI",0.34,"NON-ROAD",1999
"06037","2265006000","PM25-PRI",38.96,"NON-ROAD",1999
"06037","2265008000","PM25-PRI",1.76,"NON-ROAD",1999
"06037","2268003000","PM25-PRI",23.7,"NON-ROAD",1999
"06037","2268006000","PM25-PRI",1.38,"NON-ROAD",1999
"06037","2268008000","PM25-PRI",0.29,"NON-ROAD",1999
"06037","2270002000","PM25-PRI",1378.34,"NON-ROAD",1999
"06037","2270003000","PM25-PRI",182.98,"NON-ROAD",1999
"06037","2270005000","PM25-PRI",51.15,"NON-ROAD",1999
"06037","2270006000","PM25-PRI",171.02,"NON-ROAD",1999
"06037","2270008000","PM25-PRI",43.14,"NON-ROAD",1999
"06037","2275001000","PM25-PRI",47.67,"NON-ROAD",1999
"06037","2275020000","PM25-PRI",0.29,"NON-ROAD",1999
"06037","2275050000","PM25-PRI",31.58,"NON-ROAD",1999
"06037","2275060000","PM25-PRI",23.83,"NON-ROAD",1999
"06037","2275070000","PM25-PRI",1.38,"NON-ROAD",1999
"06037","2280000000","PM25-PRI",34.11,"NON-ROAD",1999
"06037","2280002100","PM25-PRI",749.89,"NON-ROAD",1999
"06037","2280002200","PM25-PRI",0.61,"NON-ROAD",1999
"06037","2280003100","PM25-PRI",77.3,"NON-ROAD",1999
"06037","2280003200","PM25-PRI",0.22,"NON-ROAD",1999
"06037","2282000000","PM25-PRI",3.31,"NON-ROAD",1999
"06037","2282005000","PM25-PRI",277.98,"NON-ROAD",1999
"06037","2282010000","PM25-PRI",10.4,"NON-ROAD",1999
"06037","2285002005","PM25-PRI",105.16,"NON-ROAD",1999
"06037","2285002010","PM25-PRI",18.58,"NON-ROAD",1999
"06037","2294000000","PM25-PRI",7039.05,"NONPOINT",1999
"06037","2296000000","PM25-PRI",1857.639,"NONPOINT",1999
"06037","2201001000","PM25-PRI",0.25,"POINT",2002
"06037","2201070210","PM25-PRI",0.07,"POINT",2002
"06037","2265001000","PM25-PRI",0.11,"POINT",2002
"06037","2265001020","PM25-PRI",0.01,"POINT",2002
"06037","2265001030","PM25-PRI",0.52,"POINT",2002
"06037","2294000000","PM25-PRI",1101.6,"NONPOINT",2002
"06037","2296000000","PM25-PRI",1051.01,"NONPOINT",2002
"06037","220100111B","PM25-PRI",1.15,"ON-ROAD",2002
"06037","220100111T","PM25-PRI",0.42,"ON-ROAD",2002
"06037","220100111X","PM25-PRI",2.46,"ON-ROAD",2002
"06037","220100113B","PM25-PRI",2.11,"ON-ROAD",2002
"06037","220100113T","PM25-PRI",0.78,"ON-ROAD",2002
"06037","220100113X","PM25-PRI",4.51,"ON-ROAD",2002
"06037","220100115B","PM25-PRI",1.14,"ON-ROAD",2002
"06037","220100115T","PM25-PRI",0.42,"ON-ROAD",2002
"06037","220100115X","PM25-PRI",2.45,"ON-ROAD",2002
"06037","220100117B","PM25-PRI",1.06,"ON-ROAD",2002
"06037","220100117T","PM25-PRI",0.39,"ON-ROAD",2002
"06037","220100117X","PM25-PRI",2.27,"ON-ROAD",2002
"06037","220100119B","PM25-PRI",0.37,"ON-ROAD",2002
"06037","220100119T","PM25-PRI",0.14,"ON-ROAD",2002
"06037","220100119X","PM25-PRI",0.82,"ON-ROAD",2002
"06037","220100121B","PM25-PRI",0.37,"ON-ROAD",2002
"06037","220100121T","PM25-PRI",0.13,"ON-ROAD",2002
"06037","220100121X","PM25-PRI",0.8,"ON-ROAD",2002
"06037","220100123B","PM25-PRI",70.33,"ON-ROAD",2002
"06037","220100123T","PM25-PRI",26.16,"ON-ROAD",2002
"06037","220100123X","PM25-PRI",150.01,"ON-ROAD",2002
"06037","220100125B","PM25-PRI",44.41,"ON-ROAD",2002
"06037","220100125T","PM25-PRI",16.52,"ON-ROAD",2002
"06037","220100125X","PM25-PRI",94.73,"ON-ROAD",2002
"06037","220100127B","PM25-PRI",63.65,"ON-ROAD",2002
"06037","220100127T","PM25-PRI",23.67,"ON-ROAD",2002
"06037","220100127X","PM25-PRI",143.65,"ON-ROAD",2002
"06037","220100129B","PM25-PRI",44.23,"ON-ROAD",2002
"06037","220100129T","PM25-PRI",16.45,"ON-ROAD",2002
"06037","220100129X","PM25-PRI",99.81,"ON-ROAD",2002
"06037","220100131B","PM25-PRI",10.11,"ON-ROAD",2002
"06037","220100131T","PM25-PRI",3.76,"ON-ROAD",2002
"06037","220100131X","PM25-PRI",22.81,"ON-ROAD",2002
"06037","220100133B","PM25-PRI",18.19,"ON-ROAD",2002
"06037","220100133T","PM25-PRI",6.76,"ON-ROAD",2002
"06037","220100133X","PM25-PRI",41.11,"ON-ROAD",2002
"06037","220102011B","PM25-PRI",0.58,"ON-ROAD",2002
"06037","220102011T","PM25-PRI",0.21,"ON-ROAD",2002
"06037","220102011X","PM25-PRI",2.18,"ON-ROAD",2002
"06037","220102013B","PM25-PRI",1.06,"ON-ROAD",2002
"06037","220102013T","PM25-PRI",0.39,"ON-ROAD",2002
"06037","220102013X","PM25-PRI",4,"ON-ROAD",2002
"06037","220102015B","PM25-PRI",0.58,"ON-ROAD",2002
"06037","220102015T","PM25-PRI",0.21,"ON-ROAD",2002
"06037","220102015X","PM25-PRI",2.17,"ON-ROAD",2002
"06037","220102017B","PM25-PRI",0.53,"ON-ROAD",2002
"06037","220102017T","PM25-PRI",0.2,"ON-ROAD",2002
"06037","220102017X","PM25-PRI",2.01,"ON-ROAD",2002
"06037","220102019B","PM25-PRI",0.19,"ON-ROAD",2002
"06037","220102019T","PM25-PRI",0.07,"ON-ROAD",2002
"06037","220102019X","PM25-PRI",0.72,"ON-ROAD",2002
"06037","220102021B","PM25-PRI",0.18,"ON-ROAD",2002
"06037","220102021T","PM25-PRI",0.07,"ON-ROAD",2002
"06037","220102021X","PM25-PRI",0.71,"ON-ROAD",2002
"06037","220102023B","PM25-PRI",35.51,"ON-ROAD",2002
"06037","220102023T","PM25-PRI",13.22,"ON-ROAD",2002
"06037","220102023X","PM25-PRI",133.11,"ON-ROAD",2002
"06037","220102025B","PM25-PRI",22.42,"ON-ROAD",2002
"06037","220102025T","PM25-PRI",8.35,"ON-ROAD",2002
"06037","220102025X","PM25-PRI",84.06,"ON-ROAD",2002
"06037","220102027B","PM25-PRI",32.14,"ON-ROAD",2002
"06037","220102027T","PM25-PRI",11.97,"ON-ROAD",2002
"06037","220102027X","PM25-PRI",123.65,"ON-ROAD",2002
"06037","220102029B","PM25-PRI",22.33,"ON-ROAD",2002
"06037","220102029T","PM25-PRI",8.31,"ON-ROAD",2002
"06037","220102029X","PM25-PRI",85.92,"ON-ROAD",2002
"06037","220102031B","PM25-PRI",5.1,"ON-ROAD",2002
"06037","220102031T","PM25-PRI",1.9,"ON-ROAD",2002
"06037","220102031X","PM25-PRI",19.64,"ON-ROAD",2002
"06037","220102033B","PM25-PRI",9.18,"ON-ROAD",2002
"06037","220102033T","PM25-PRI",3.42,"ON-ROAD",2002
"06037","220102033X","PM25-PRI",35.4,"ON-ROAD",2002
"06037","220104011B","PM25-PRI",0.18,"ON-ROAD",2002
"06037","220104011T","PM25-PRI",0.06,"ON-ROAD",2002
"06037","220104011X","PM25-PRI",0.74,"ON-ROAD",2002
"06037","220104013B","PM25-PRI",0.33,"ON-ROAD",2002
"06037","220104013T","PM25-PRI",0.12,"ON-ROAD",2002
"06037","220104013X","PM25-PRI",1.37,"ON-ROAD",2002
"06037","220104015B","PM25-PRI",0.18,"ON-ROAD",2002
"06037","220104015T","PM25-PRI",0.06,"ON-ROAD",2002
"06037","220104015X","PM25-PRI",0.74,"ON-ROAD",2002
"06037","220104017B","PM25-PRI",0.16,"ON-ROAD",2002
"06037","220104017T","PM25-PRI",0.06,"ON-ROAD",2002
"06037","220104017X","PM25-PRI",0.69,"ON-ROAD",2002
"06037","220104019B","PM25-PRI",0.05,"ON-ROAD",2002
"06037","220104019T","PM25-PRI",0.02,"ON-ROAD",2002
"06037","220104019X","PM25-PRI",0.24,"ON-ROAD",2002
"06037","220104021B","PM25-PRI",0.05,"ON-ROAD",2002
"06037","220104021T","PM25-PRI",0.02,"ON-ROAD",2002
"06037","220104021X","PM25-PRI",0.24,"ON-ROAD",2002
"06037","220104023B","PM25-PRI",11.11,"ON-ROAD",2002
"06037","220104023T","PM25-PRI",4.13,"ON-ROAD",2002
"06037","220104023X","PM25-PRI",45.69,"ON-ROAD",2002
"06037","220104025B","PM25-PRI",7.02,"ON-ROAD",2002
"06037","220104025T","PM25-PRI",2.6,"ON-ROAD",2002
"06037","220104025X","PM25-PRI",28.85,"ON-ROAD",2002
"06037","220104027B","PM25-PRI",10.06,"ON-ROAD",2002
"06037","220104027T","PM25-PRI",3.74,"ON-ROAD",2002
"06037","220104027X","PM25-PRI",41.85,"ON-ROAD",2002
"06037","220104029B","PM25-PRI",6.99,"ON-ROAD",2002
"06037","220104029T","PM25-PRI",2.59,"ON-ROAD",2002
"06037","220104029X","PM25-PRI",29.07,"ON-ROAD",2002
"06037","220104031B","PM25-PRI",1.59,"ON-ROAD",2002
"06037","220104031T","PM25-PRI",0.59,"ON-ROAD",2002
"06037","220104031X","PM25-PRI",6.64,"ON-ROAD",2002
"06037","220104033B","PM25-PRI",2.87,"ON-ROAD",2002
"06037","220104033T","PM25-PRI",1.06,"ON-ROAD",2002
"06037","220104033X","PM25-PRI",11.96,"ON-ROAD",2002
"06037","220107011B","PM25-PRI",0.06,"ON-ROAD",2002
"06037","220107011T","PM25-PRI",0.03,"ON-ROAD",2002
"06037","220107011X","PM25-PRI",0.15,"ON-ROAD",2002
"06037","220107013B","PM25-PRI",0.12,"ON-ROAD",2002
"06037","220107013T","PM25-PRI",0.06,"ON-ROAD",2002
"06037","220107013X","PM25-PRI",0.28,"ON-ROAD",2002
"06037","220107015B","PM25-PRI",0.06,"ON-ROAD",2002
"06037","220107015T","PM25-PRI",0.03,"ON-ROAD",2002
"06037","220107015X","PM25-PRI",0.15,"ON-ROAD",2002
"06037","220107017B","PM25-PRI",0.06,"ON-ROAD",2002
"06037","220107017T","PM25-PRI",0.03,"ON-ROAD",2002
"06037","220107017X","PM25-PRI",0.14,"ON-ROAD",2002
"06037","220107019B","PM25-PRI",0.02,"ON-ROAD",2002
"06037","220107019T","PM25-PRI",0.01,"ON-ROAD",2002
"06037","220107019X","PM25-PRI",0.05,"ON-ROAD",2002
"06037","220107021B","PM25-PRI",0.02,"ON-ROAD",2002
"06037","220107021T","PM25-PRI",0.01,"ON-ROAD",2002
"06037","220107021X","PM25-PRI",0.04,"ON-ROAD",2002
"06037","220107023B","PM25-PRI",4.01,"ON-ROAD",2002
"06037","220107023T","PM25-PRI",2.1,"ON-ROAD",2002
"06037","220107023X","PM25-PRI",9.3,"ON-ROAD",2002
"06037","220107025B","PM25-PRI",2.53,"ON-ROAD",2002
"06037","220107025T","PM25-PRI",1.33,"ON-ROAD",2002
"06037","220107025X","PM25-PRI",5.87,"ON-ROAD",2002
"06037","220107027B","PM25-PRI",3.63,"ON-ROAD",2002
"06037","220107027T","PM25-PRI",1.9,"ON-ROAD",2002
"06037","220107027X","PM25-PRI",8.39,"ON-ROAD",2002
"06037","220107029B","PM25-PRI",2.52,"ON-ROAD",2002
"06037","220107029T","PM25-PRI",1.32,"ON-ROAD",2002
"06037","220107029X","PM25-PRI",5.83,"ON-ROAD",2002
