"","fips","SCC","Pollutant","Emissions","type","year"
"12038433","24510","220102023X","PM25-PRI",2.03,"ON-ROAD",2005
"12038436","24510","220102025B","PM25-PRI",0.26,"ON-ROAD",2005
"12038438","24510","220102025T","PM25-PRI",0.1,"ON-ROAD",2005
"12038442","24510","220102025X","PM25-PRI",0.26,"ON-ROAD",2005
"12038445","24510","220102027B","PM25-PRI",2.44,"ON-ROAD",2005
"12038447","24510","220102027T","PM25-PRI",0.91,"ON-ROAD",2005
"12038451","24510","220102027X","PM25-PRI",2.69,"ON-ROAD",2005
"12038454","24510","220102029B","PM25-PRI",1.53,"ON-ROAD",2005
"12038456","24510","220102029T","PM25-PRI",0.57,"ON-ROAD",2005
"12038460","24510","220102029X","PM25-PRI",1.69,"ON-ROAD",2005
"12038463","24510","220102031B","PM25-PRI",0.48,"ON-ROAD",2005
"12038465","24510","220102031T","PM25-PRI",0.18,"ON-ROAD",2005
"12038469","24510","220102031X","PM25-PRI",0.52,"ON-ROAD",2005
"12038472","24510","220102033B","PM25-PRI",0.55,"ON-ROAD",2005
"12038474","24510","220102033T","PM25-PRI",0.2,"ON-ROAD",2005
"12038478","24510","220102033X","PM25-PRI",0.6,"ON-ROAD",2005
"12038481","24510","220104017B","PM25-PRI",0.000695804468705305,"ON-ROAD",2005
"12038483","24510","220104017T","PM25-PRI",0.00026094571694557,"ON-ROAD",2005
"12038487","24510","220104017X","PM25-PRI",0.000769752296037022,"ON-ROAD",2005
"12038490","24510","220104019B","PM25-PRI",0.000695216753229017,"ON-ROAD",2005
"12038492","24510","220104019T","PM25-PRI",0.000260725311818532,"ON-ROAD",2005
"12038496","24510","220104019X","PM25-PRI",0.000788650861068143,"ON-ROAD",2005
"12038499","24510","220104021B","PM25-PRI",0.000476014865853344,"ON-ROAD",2005
"12038501","24510","220104021T","PM25-PRI",0.000178518600478126,"ON-ROAD",2005
"12038505","24510","220104021X","PM25-PRI",0.00053998917428542,"ON-ROAD",2005
"12038508","24510","220104023B","PM25-PRI",0.7,"ON-ROAD",2005
"12038510","24510","220104023T","PM25-PRI",0.26,"ON-ROAD",2005
"12038514","24510","220104023X","PM25-PRI",0.77,"ON-ROAD",2005
"12038517","24510","220104025B","PM25-PRI",0.09,"ON-ROAD",2005
"12038519","24510","220104025T","PM25-PRI",0.03,"ON-ROAD",2005
"12038523","24510","220104025X","PM25-PRI",0.1,"ON-ROAD",2005
"12038526","24510","220104027B","PM25-PRI",0.84,"ON-ROAD",2005
"12038528","24510","220104027T","PM25-PRI",0.31,"ON-ROAD",2005
"12038532","24510","220104027X","PM25-PRI",1,"ON-ROAD",2005
"12038535","24510","220104029B","PM25-PRI",0.52,"ON-ROAD",2005
"12038537","24510","220104029T","PM25-PRI",0.19,"ON-ROAD",2005
"12038541","24510","220104029X","PM25-PRI",0.63,"ON-ROAD",2005
"12038544","24510","220104031B","PM25-PRI",0.16,"ON-ROAD",2005
"12038546","24510","220104031T","PM25-PRI",0.06,"ON-ROAD",2005
"12038550","24510","220104031X","PM25-PRI",0.19,"ON-ROAD",2005
"12038553","24510","220104033B","PM25-PRI",0.19,"ON-ROAD",2005
"12038555","24510","220104033T","PM25-PRI",0.07,"ON-ROAD",2005
"12038559","24510","220104033X","PM25-PRI",0.22,"ON-ROAD",2005
"12038562","24510","220107017B","PM25-PRI",0.000138687534672497,"ON-ROAD",2005
"12038564","24510","220107017T","PM25-PRI",5.54221260244937e-05,"ON-ROAD",2005
"12038568","24510","220107017X","PM25-PRI",0.0014244634658098,"ON-ROAD",2005
"12038571","24510","220107019B","PM25-PRI",0.000137512267428972,"ON-ROAD",2005
"12038573","24510","220107019T","PM25-PRI",5.49814535588647e-05,"ON-ROAD",2005
"12038577","24510","220107019X","PM25-PRI",0.00141230358713073,"ON-ROAD",2005
"12038580","24510","220107021B","PM25-PRI",3.58464301370977e-05,"ON-ROAD",2005
"12038582","24510","220107021T","PM25-PRI",1.37719073336482e-05,"ON-ROAD",2005
"12038586","24510","220107021X","PM25-PRI",0.000369516790669866,"ON-ROAD",2005
"12038589","24510","220107023B","PM25-PRI",0.24,"ON-ROAD",2005
"12038591","24510","220107023T","PM25-PRI",0.09,"ON-ROAD",2005
"12038595","24510","220107023X","PM25-PRI",2.53,"ON-ROAD",2005
"12038598","24510","220107025B","PM25-PRI",0.01,"ON-ROAD",2005
"12038600","24510","220107025T","PM25-PRI",0.00805778550951,"ON-ROAD",2005
"12038604","24510","220107025X","PM25-PRI",0.2,"ON-ROAD",2005
"12038607","24510","220107027B","PM25-PRI",0.16,"ON-ROAD",2005
"12038609","24510","220107027T","PM25-PRI",0.06,"ON-ROAD",2005
"12038613","24510","220107027X","PM25-PRI",1.69,"ON-ROAD",2005
"12038616","24510","220107029B","PM25-PRI",0.08,"ON-ROAD",2005
"12038618","24510","220107029T","PM25-PRI",0.03,"ON-ROAD",2005
"12038622","24510","220107029X","PM25-PRI",0.9,"ON-ROAD",2005
"12038625","24510","220107031B","PM25-PRI",0.02,"ON-ROAD",2005
"12038627","24510","220107031T","PM25-PRI",0.01,"ON-ROAD",2005
"12038631","24510","220107031X","PM25-PRI",0.26,"ON-ROAD",2005
"12038634","24510","220107033B","PM25-PRI",0.01,"ON-ROAD",2005
"12038636","24510","220107033T","PM25-PRI",0.00747090088971,"ON-ROAD",2005
"12038640","24510","220107033X","PM25-PRI",0.19,"ON-ROAD",2005
"12038643","24510","220108017B","PM25-PRI",2.35450873731223e-06,"ON-ROAD",2005
"12038645","24510","220108017T","PM25-PRI",4.42101608655307e-07,"ON-ROAD",2005
"12038649","24510","220108017X","PM25-PRI",6.38128403807042e-06,"ON-ROAD",2005
"12038652","24510","220108019B","PM25-PRI",2.35450873731223e-06,"ON-ROAD",2005
"12038654","24510","220108019T","PM25-PRI",4.42101608655307e-07,"ON-ROAD",2005
"12038658","24510","220108019X","PM25-PRI",6.42555340846211e-06,"ON-ROAD",2005
"12038661","24510","220108021B","PM25-PRI",2.35450873731223e-06,"ON-ROAD",2005
"12038663","24510","220108021T","PM25-PRI",4.42101608655307e-07,"ON-ROAD",2005
"12038667","24510","220108021X","PM25-PRI",6.42555340846211e-06,"ON-ROAD",2005
"12038670","24510","220108023B","PM25-PRI",0.00419401615901,"ON-ROAD",2005
"12038672","24510","220108023T","PM25-PRI",0.0007875382361817,"ON-ROAD",2005
"12038676","24510","220108023X","PM25-PRI",0.01,"ON-ROAD",2005
"12038679","24510","220108025B","PM25-PRI",0.000555081747734202,"ON-ROAD",2005
"12038681","24510","220108025T","PM25-PRI",0.000104231384284501,"ON-ROAD",2005
"12038685","24510","220108025X","PM25-PRI",0.00150443697930312,"ON-ROAD",2005
"12038688","24510","220108027B","PM25-PRI",0.00503761035915,"ON-ROAD",2005
"12038690","24510","220108027T","PM25-PRI",0.000946007334277945,"ON-ROAD",2005
"12038694","24510","220108027X","PM25-PRI",0.01,"ON-ROAD",2005
"12038697","24510","220108029B","PM25-PRI",0.00316278118407352,"ON-ROAD",2005
"12038699","24510","220108029T","PM25-PRI",0.000593935204960859,"ON-ROAD",2005
"12038703","24510","220108029X","PM25-PRI",0.00874780263771,"ON-ROAD",2005
"12038706","24510","220108031B","PM25-PRI",0.000990098269539868,"ON-ROAD",2005
"12038708","24510","220108031T","PM25-PRI",0.000185929471626876,"ON-ROAD",2005
"12038712","24510","220108031X","PM25-PRI",0.00273847096832468,"ON-ROAD",2005
"12038715","24510","220108033B","PM25-PRI",0.00113608184619805,"ON-ROAD",2005
"12038717","24510","220108033T","PM25-PRI",0.000213343566429101,"ON-ROAD",2005
"12038721","24510","220108033X","PM25-PRI",0.00314341505873015,"ON-ROAD",2005
"12038724","24510","223000117B","PM25-PRI",2.35111346000848e-05,"ON-ROAD",2005
"12038726","24510","223000117T","PM25-PRI",8.82813287716985e-06,"ON-ROAD",2005
"12038729","24510","223000117X","PM25-PRI",0.000656990574498179,"ON-ROAD",2005
"12038732","24510","223000119B","PM25-PRI",2.35111346000848e-05,"ON-ROAD",2005
"12038734","24510","223000119T","PM25-PRI",8.82813287716985e-06,"ON-ROAD",2005
"12038737","24510","223000119X","PM25-PRI",0.000656990574498179,"ON-ROAD",2005
"12038740","24510","223000121B","PM25-PRI",1.70455714396665e-05,"ON-ROAD",2005
"12038742","24510","223000121T","PM25-PRI",6.40039593235983e-06,"ON-ROAD",2005
"12038745","24510","223000121X","PM25-PRI",0.00047631814231862,"ON-ROAD",2005
"12038748","24510","223000123B","PM25-PRI",0.02,"ON-ROAD",2005
"12038750","24510","223000123T","PM25-PRI",0.00900554202738,"ON-ROAD",2005
"12038753","24510","223000123X","PM25-PRI",0.67,"ON-ROAD",2005
"12038756","24510","223000125B","PM25-PRI",0.00317280748276969,"ON-ROAD",2005
"12038758","24510","223000125T","PM25-PRI",0.0011913517009816,"ON-ROAD",2005
"12038761","24510","223000125X","PM25-PRI",0.08,"ON-ROAD",2005
"12038764","24510","223000127B","PM25-PRI",0.02,"ON-ROAD",2005
"12038766","24510","223000127T","PM25-PRI",0.01,"ON-ROAD",2005
"12038769","24510","223000127X","PM25-PRI",0.8,"ON-ROAD",2005
"12038772","24510","223000129B","PM25-PRI",0.01,"ON-ROAD",2005
"12038774","24510","223000129T","PM25-PRI",0.0067883260758,"ON-ROAD",2005
"12038777","24510","223000129X","PM25-PRI",0.5,"ON-ROAD",2005
"12038780","24510","223000131B","PM25-PRI",0.00566433300089,"ON-ROAD",2005
"12038782","24510","223000131T","PM25-PRI",0.00212689710315316,"ON-ROAD",2005
"12038785","24510","223000131X","PM25-PRI",0.15,"ON-ROAD",2005
"12038788","24510","223000133B","PM25-PRI",0.00649014900945,"ON-ROAD",2005
"12038790","24510","223000133T","PM25-PRI",0.00243698224949183,"ON-ROAD",2005
"12038793","24510","223000133X","PM25-PRI",0.18,"ON-ROAD",2005
"12038796","24510","223006017B","PM25-PRI",4.93792708766692e-05,"ON-ROAD",2005
"12038798","24510","223006017T","PM25-PRI",1.85037903293049e-05,"ON-ROAD",2005
"12038801","24510","223006017X","PM25-PRI",0.000949667759414278,"ON-ROAD",2005
"12038804","24510","223006019B","PM25-PRI",4.93792708766692e-05,"ON-ROAD",2005
"12038806","24510","223006019T","PM25-PRI",1.85037903293049e-05,"ON-ROAD",2005
"12038809","24510","223006019X","PM25-PRI",0.000949667759414278,"ON-ROAD",2005
"12038812","24510","223006021B","PM25-PRI",1.82233388841267e-05,"ON-ROAD",2005
"12038814","24510","223006021T","PM25-PRI",6.8301369537947e-06,"ON-ROAD",2005
"12038817","24510","223006021X","PM25-PRI",0.00034810969009413,"ON-ROAD",2005
"12038820","24510","223006023B","PM25-PRI",0.07,"ON-ROAD",2005
"12038822","24510","223006023T","PM25-PRI",0.02,"ON-ROAD",2005
"12038825","24510","223006023X","PM25-PRI",1.39,"ON-ROAD",2005
"12038828","24510","223006025B","PM25-PRI",0.00646867690237,"ON-ROAD",2005
"12038830","24510","223006025T","PM25-PRI",0.0024239868071163,"ON-ROAD",2005
"12038833","24510","223006025X","PM25-PRI",0.12,"ON-ROAD",2005
"12038836","24510","223006027B","PM25-PRI",0.05,"ON-ROAD",2005
"12038838","24510","223006027T","PM25-PRI",0.02,"ON-ROAD",2005
"12038841","24510","223006027X","PM25-PRI",1.03,"ON-ROAD",2005
"12038844","24510","223006029B","PM25-PRI",0.02,"ON-ROAD",2005
"12038846","24510","223006029T","PM25-PRI",0.01,"ON-ROAD",2005
"12038849","24510","223006029X","PM25-PRI",0.57,"ON-ROAD",2005
"12038852","24510","223006031B","PM25-PRI",0.00900993798643,"ON-ROAD",2005
"12038854","24510","223006031T","PM25-PRI",0.0033764638355933,"ON-ROAD",2005
"12038857","24510","223006031X","PM25-PRI",0.17,"ON-ROAD",2005
"12038860","24510","223006033B","PM25-PRI",0.00737514940358,"ON-ROAD",2005
"12038862","24510","223006033T","PM25-PRI",0.00276410560763905,"ON-ROAD",2005
"12038865","24510","223006033X","PM25-PRI",0.14,"ON-ROAD",2005
"12038868","24510","223007117B","PM25-PRI",1.05850325553545e-05,"ON-ROAD",2005
"12038870","24510","223007117T","PM25-PRI",3.96703944716111e-06,"ON-ROAD",2005
"12038873","24510","223007117X","PM25-PRI",0.00025116657889157,"ON-ROAD",2005
"12038876","24510","223007119B","PM25-PRI",1.05850325553545e-05,"ON-ROAD",2005
"12038878","24510","223007119T","PM25-PRI",3.96703944716111e-06,"ON-ROAD",2005
"12038881","24510","223007119X","PM25-PRI",0.00025116657889157,"ON-ROAD",2005
"12038884","24510","223007121B","PM25-PRI",2.35222947253531e-06,"ON-ROAD",2005
"12038886","24510","223007121T","PM25-PRI",8.81564332644289e-07,"ON-ROAD",2005
"12038889","24510","223007121X","PM25-PRI",5.5814796724006e-05,"ON-ROAD",2005
"12038892","24510","223007123B","PM25-PRI",0.01,"ON-ROAD",2005
"12038894","24510","223007123T","PM25-PRI",0.00708625570222,"ON-ROAD",2005
"12038897","24510","223007123X","PM25-PRI",0.44,"ON-ROAD",2005
"12038900","24510","223007125B","PM25-PRI",0.00155364473903317,"ON-ROAD",2005
"12038902","24510","223007125T","PM25-PRI",0.000582274966291134,"ON-ROAD",2005
"12038905","24510","223007125X","PM25-PRI",0.03,"ON-ROAD",2005
"12038908","24510","223007127B","PM25-PRI",0.01,"ON-ROAD",2005
"12038910","24510","223007127T","PM25-PRI",0.00470428130792,"ON-ROAD",2005
"12038913","24510","223007127X","PM25-PRI",0.29,"ON-ROAD",2005
"12038916","24510","223007129B","PM25-PRI",0.0067144090404,"ON-ROAD",2005
"12038918","24510","223007129T","PM25-PRI",0.00251644349191336,"ON-ROAD",2005
"12038921","24510","223007129X","PM25-PRI",0.15,"ON-ROAD",2005
"12038924","24510","223007131B","PM25-PRI",0.00200350237719248,"ON-ROAD",2005
"12038926","24510","223007131T","PM25-PRI",0.00075087779623571,"ON-ROAD",2005
"12038929","24510","223007131X","PM25-PRI",0.04,"ON-ROAD",2005
"12038932","24510","223007133B","PM25-PRI",0.00140074624505359,"ON-ROAD",2005
"12038934","24510","223007133T","PM25-PRI",0.000524975293956215,"ON-ROAD",2005
"12038937","24510","223007133X","PM25-PRI",0.03,"ON-ROAD",2005
"12038940","24510","223007217B","PM25-PRI",3.9986762203624e-05,"ON-ROAD",2005
"12038942","24510","223007217T","PM25-PRI",2.24792644303306e-05,"ON-ROAD",2005
"12038945","24510","223007217X","PM25-PRI",0.000832106925372485,"ON-ROAD",2005
"12038948","24510","223007219B","PM25-PRI",3.9986762203624e-05,"ON-ROAD",2005
"12038950","24510","223007219T","PM25-PRI",2.24792644303306e-05,"ON-ROAD",2005
"12038953","24510","223007219X","PM25-PRI",0.000832106925372485,"ON-ROAD",2005
"12038956","24510","223007221B","PM25-PRI",1.23486007623795e-05,"ON-ROAD",2005
"12038958","24510","223007221T","PM25-PRI",6.94171404802532e-06,"ON-ROAD",2005
"12038961","24510","223007221X","PM25-PRI",0.000254593545832903,"ON-ROAD",2005
"12038964","24510","223007223B","PM25-PRI",0.07,"ON-ROAD",2005
"12038966","24510","223007223T","PM25-PRI",0.03,"ON-ROAD",2005
"12038969","24510","223007223X","PM25-PRI",1.46,"ON-ROAD",2005
"12038972","24510","223007225B","PM25-PRI",0.00575220820444,"ON-ROAD",2005
"12038974","24510","223007225T","PM25-PRI",0.00323369656689463,"ON-ROAD",2005
"12038977","24510","223007225X","PM25-PRI",0.12,"ON-ROAD",2005
"12038980","24510","223007227B","PM25-PRI",0.04,"ON-ROAD",2005
"12038982","24510","223007227T","PM25-PRI",0.02,"ON-ROAD",2005
"12038985","24510","223007227X","PM25-PRI",0.97,"ON-ROAD",2005
"12038988","24510","223007229B","PM25-PRI",0.02,"ON-ROAD",2005
"12038990","24510","223007229T","PM25-PRI",0.01,"ON-ROAD",2005
"12038993","24510","223007229X","PM25-PRI",0.51,"ON-ROAD",2005
"12038996","24510","223007231B","PM25-PRI",0.0074181280784,"ON-ROAD",2005
"12038998","24510","223007231T","PM25-PRI",0.00417019752606,"ON-ROAD",2005
"12039001","24510","223007231X","PM25-PRI",0.15,"ON-ROAD",2005
"12039004","24510","223007233B","PM25-PRI",0.00518592720393,"ON-ROAD",2005
"12039006","24510","223007233T","PM25-PRI",0.00291533698327838,"ON-ROAD",2005
"12039009","24510","223007233X","PM25-PRI",0.1,"ON-ROAD",2005
"12039012","24510","223007317B","PM25-PRI",8.52531384225573e-05,"ON-ROAD",2005
"12039014","24510","223007317T","PM25-PRI",4.79449595331954e-05,"ON-ROAD",2005
"12039017","24510","223007317X","PM25-PRI",0.00352604480560058,"ON-ROAD",2005
"12039020","24510","223007319B","PM25-PRI",8.40772358969826e-05,"ON-ROAD",2005
"12039022","24510","223007319T","PM25-PRI",4.72836529752369e-05,"ON-ROAD",2005
"12039025","24510","223007319X","PM25-PRI",0.00347673168247587,"ON-ROAD",2005
"12039028","24510","223007321B","PM25-PRI",2.11662963920388e-05,"ON-ROAD",2005
"12039030","24510","223007321T","PM25-PRI",1.19035794341469e-05,"ON-ROAD",2005
"12039033","24510","223007321X","PM25-PRI",0.000874429708346709,"ON-ROAD",2005
"12039036","24510","223007323B","PM25-PRI",0.13,"ON-ROAD",2005
"12039038","24510","223007323T","PM25-PRI",0.07,"ON-ROAD",2005
"12039041","24510","223007323X","PM25-PRI",5.69,"ON-ROAD",2005
"12039044","24510","223007325B","PM25-PRI",0.01,"ON-ROAD",2005
"12039046","24510","223007325T","PM25-PRI",0.00636511004832,"ON-ROAD",2005
"12039049","24510","223007325X","PM25-PRI",0.46,"ON-ROAD",2005
"12039052","24510","223007327B","PM25-PRI",0.09,"ON-ROAD",2005
"12039054","24510","223007327T","PM25-PRI",0.05,"ON-ROAD",2005
"12039057","24510","223007327X","PM25-PRI",3.78,"ON-ROAD",2005
"12039060","24510","223007329B","PM25-PRI",0.04,"ON-ROAD",2005
"12039062","24510","223007329T","PM25-PRI",0.02,"ON-ROAD",2005
"12039065","24510","223007329X","PM25-PRI",2.02,"ON-ROAD",2005
"12039068","24510","223007331B","PM25-PRI",0.01,"ON-ROAD",2005
"12039070","24510","223007331T","PM25-PRI",0.00820719543687,"ON-ROAD",2005
"12039073","24510","223007331X","PM25-PRI",0.6,"ON-ROAD",2005
"12039076","24510","223007333B","PM25-PRI",0.01,"ON-ROAD",2005
"12039078","24510","223007333T","PM25-PRI",0.00573852273948,"ON-ROAD",2005
"12039081","24510","223007333X","PM25-PRI",0.42,"ON-ROAD",2005
"12039084","24510","223007417B","PM25-PRI",0.000166375421940756,"ON-ROAD",2005
"12039086","24510","223007417T","PM25-PRI",0.000280772173937292,"ON-ROAD",2005
"12039089","24510","223007417X","PM25-PRI",0.00863275123839,"ON-ROAD",2005
"12039092","24510","223007419B","PM25-PRI",0.000170490586242521,"ON-ROAD",2005
"12039094","24510","223007419T","PM25-PRI",0.000287716722596086,"ON-ROAD",2005
"12039097","24510","223007419X","PM25-PRI",0.00886091432493,"ON-ROAD",2005
"12039100","24510","223007421B","PM25-PRI",4.76197951684282e-05,"ON-ROAD",2005
"12039102","24510","223007421T","PM25-PRI",8.03622901912589e-05,"ON-ROAD",2005
"12039105","24510","223007421X","PM25-PRI",0.00247353718441444,"ON-ROAD",2005
"12039108","24510","223007423B","PM25-PRI",0.28,"ON-ROAD",2005
"12039110","24510","223007423T","PM25-PRI",0.47,"ON-ROAD",2005
"12039113","24510","223007423X","PM25-PRI",14.74,"ON-ROAD",2005
"12039116","24510","223007425B","PM25-PRI",0.02,"ON-ROAD",2005
"12039118","24510","223007425T","PM25-PRI",0.03,"ON-ROAD",2005
"12039121","24510","223007425X","PM25-PRI",1.2,"ON-ROAD",2005
"12039124","24510","223007427B","PM25-PRI",0.19,"ON-ROAD",2005
"12039126","24510","223007427T","PM25-PRI",0.33,"ON-ROAD",2005
"12039129","24510","223007427X","PM25-PRI",10.28,"ON-ROAD",2005
"12039132","24510","223007429B","PM25-PRI",0.1,"ON-ROAD",2005
"12039134","24510","223007429T","PM25-PRI",0.17,"ON-ROAD",2005
"12039137","24510","223007429X","PM25-PRI",5.5,"ON-ROAD",2005
"12039140","24510","223007431B","PM25-PRI",0.03,"ON-ROAD",2005
"12039142","24510","223007431T","PM25-PRI",0.05,"ON-ROAD",2005
"12039145","24510","223007431X","PM25-PRI",1.62,"ON-ROAD",2005
"12039148","24510","223007433B","PM25-PRI",0.02,"ON-ROAD",2005
"12039150","24510","223007433T","PM25-PRI",0.03,"ON-ROAD",2005
"12039153","24510","223007433X","PM25-PRI",1.17,"ON-ROAD",2005
"12039156","24510","223007517B","PM25-PRI",7.39683032406887e-05,"ON-ROAD",2005
"12039158","24510","223007517T","PM25-PRI",4.17990013374929e-05,"ON-ROAD",2005
"12039161","24510","223007517X","PM25-PRI",0.00704670778782,"ON-ROAD",2005
"12039164","24510","223007519B","PM25-PRI",7.04559415680689e-05,"ON-ROAD",2005
"12039166","24510","223007519T","PM25-PRI",3.97952837829487e-05,"ON-ROAD",2005
"12039169","24510","223007519X","PM25-PRI",0.00679406116097,"ON-ROAD",2005
"12039172","24510","223007521B","PM25-PRI",5.81196509301644e-05,"ON-ROAD",2005
"12039174","24510","223007521T","PM25-PRI",3.28397982229943e-05,"ON-ROAD",2005
"12039177","24510","223007521X","PM25-PRI",0.00555088094438,"ON-ROAD",2005
"12039180","24510","223007523B","PM25-PRI",0.04,"ON-ROAD",2005
"12039182","24510","223007523T","PM25-PRI",0.02,"ON-ROAD",2005
"12039185","24510","223007523X","PM25-PRI",4.82,"ON-ROAD",2005
"12039188","24510","223007525B","PM25-PRI",0.0038334683616293,"ON-ROAD",2005
"12039190","24510","223007525T","PM25-PRI",0.00216061882383654,"ON-ROAD",2005
"12039193","24510","223007525X","PM25-PRI",0.38,"ON-ROAD",2005
"12039196","24510","223007527B","PM25-PRI",0.05,"ON-ROAD",2005
"12039198","24510","223007527T","PM25-PRI",0.03,"ON-ROAD",2005
"12039201","24510","223007527X","PM25-PRI",5.64,"ON-ROAD",2005
"12039204","24510","223007529B","PM25-PRI",0.03,"ON-ROAD",2005
"12039206","24510","223007529T","PM25-PRI",0.01,"ON-ROAD",2005
"12039209","24510","223007529X","PM25-PRI",3.3,"ON-ROAD",2005
"12039212","24510","223007531B","PM25-PRI",0.01,"ON-ROAD",2005
"12039214","24510","223007531T","PM25-PRI",0.00701503350712,"ON-ROAD",2005
"12039217","24510","223007531X","PM25-PRI",1.23,"ON-ROAD",2005
"12039220","24510","223007533B","PM25-PRI",0.01,"ON-ROAD",2005
"12039222","24510","223007533T","PM25-PRI",0.0096938834158,"ON-ROAD",2005
"12039225","24510","223007533X","PM25-PRI",1.67,"ON-ROAD",2005
"14557249","24510","2260003030","PM25-PRI",0.01,"NON-ROAD",2005
"14557253","24510","2260003040","PM25-PRI",0.0009783056,"NON-ROAD",2005
"14557257","24510","2260004015","PM25-PRI",0.18,"NON-ROAD",2005
"14557261","24510","2260004016","PM25-PRI",0.14,"NON-ROAD",2005
"14557265","24510","2260004020","PM25-PRI",2.5,"NON-ROAD",2005
"14557269","24510","2260004021","PM25-PRI",2.68,"NON-ROAD",2005
"14557273","24510","2260004025","PM25-PRI",3.51,"NON-ROAD",2005
"14557277","24510","2260004026","PM25-PRI",1.47,"NON-ROAD",2005
"14557281","24510","2260004030","PM25-PRI",2.24,"NON-ROAD",2005
"14557285","24510","2260004031","PM25-PRI",1.64,"NON-ROAD",2005
"14557289","24510","2260004035","PM25-PRI",0.76,"NON-ROAD",2005
"14557293","24510","2260004036","PM25-PRI",0.29,"NON-ROAD",2005
"14557297","24510","2260004071","PM25-PRI",0.0005861898,"NON-ROAD",2005
"14557301","24510","2260006005","PM25-PRI",0.19,"NON-ROAD",2005
"14557305","24510","2260006010","PM25-PRI",1.4,"NON-ROAD",2005
"14557309","24510","2260006015","PM25-PRI",0.0005122234,"NON-ROAD",2005
"14557313","24510","2260006035","PM25-PRI",0.0080728407,"NON-ROAD",2005
"14557317","24510","2265001050","PM25-PRI",0.04,"NON-ROAD",2005
"14557321","24510","2265003010","PM25-PRI",0.01,"NON-ROAD",2005
"14557325","24510","2265003020","PM25-PRI",0.05,"NON-ROAD",2005
"14557329","24510","2265003030","PM25-PRI",0.01,"NON-ROAD",2005
"14557333","24510","2265003040","PM25-PRI",0.06,"NON-ROAD",2005
"14557337","24510","2265003050","PM25-PRI",0.0013772507,"NON-ROAD",2005
"14557341","24510","2265003060","PM25-PRI",0.0011149085,"NON-ROAD",2005
"14557345","24510","2265003070","PM25-PRI",0.0060235157,"NON-ROAD",2005
"14557349","24510","2265004010","PM25-PRI",0.94,"NON-ROAD",2005
"14557353","24510","2265004011","PM25-PRI",0.13,"NON-ROAD",2005
"14557357","24510","2265004015","PM25-PRI",0.08,"NON-ROAD",2005
"14557361","24510","2265004016","PM25-PRI",0.06,"NON-ROAD",2005
"14557365","24510","2265004025","PM25-PRI",0.0054815914,"NON-ROAD",2005
"14557369","24510","2265004026","PM25-PRI",0.0025023295,"NON-ROAD",2005
"14557373","24510","2265004030","PM25-PRI",0.01,"NON-ROAD",2005
"14557377","24510","2265004031","PM25-PRI",0.06,"NON-ROAD",2005
"14557381","24510","2265004035","PM25-PRI",0.03,"NON-ROAD",2005
"14557385","24510","2265004036","PM25-PRI",0.01,"NON-ROAD",2005
"14557389","24510","2265004040","PM25-PRI",0.09,"NON-ROAD",2005
"14557393","24510","2265004041","PM25-PRI",0.0069408401,"NON-ROAD",2005
"14557397","24510","2265004046","PM25-PRI",0.0084194273,"NON-ROAD",2005
"14557401","24510","2265004051","PM25-PRI",0.0072189384,"NON-ROAD",2005
"14557405","24510","2265004055","PM25-PRI",1.34,"NON-ROAD",2005
"14557409","24510","2265004056","PM25-PRI",0.09,"NON-ROAD",2005
"14557413","24510","2265004066","PM25-PRI",0.01,"NON-ROAD",2005
"14557417","24510","2265004071","PM25-PRI",0.34,"NON-ROAD",2005
"14557421","24510","2265004075","PM25-PRI",0.07,"NON-ROAD",2005
"14557425","24510","2265004076","PM25-PRI",0.01,"NON-ROAD",2005
"14557429","24510","2265006005","PM25-PRI",0.73,"NON-ROAD",2005
"14557433","24510","2265006010","PM25-PRI",0.25,"NON-ROAD",2005
"14557437","24510","2265006015","PM25-PRI",0.11,"NON-ROAD",2005
"14557441","24510","2265006025","PM25-PRI",0.18,"NON-ROAD",2005
"14557445","24510","2265006030","PM25-PRI",0.42,"NON-ROAD",2005
"14557449","24510","2265006035","PM25-PRI",0.01,"NON-ROAD",2005
"14557453","24510","2265010010","PM25-PRI",0.0026035674,"NON-ROAD",2005
"14557457","24510","2267003010","PM25-PRI",0.01,"NON-ROAD",2005
"14557461","24510","2267003020","PM25-PRI",1.76,"NON-ROAD",2005
"14557465","24510","2267003030","PM25-PRI",0.01,"NON-ROAD",2005
"14557469","24510","2267003040","PM25-PRI",0.0041615147,"NON-ROAD",2005
"14557473","24510","2267003050","PM25-PRI",0.0010000453,"NON-ROAD",2005
"14557477","24510","2267003070","PM25-PRI",0.0083001321,"NON-ROAD",2005
"14557481","24510","2267004066","PM25-PRI",0.0049440744,"NON-ROAD",2005
"14557485","24510","2267006005","PM25-PRI",0.06,"NON-ROAD",2005
"14557489","24510","2267006010","PM25-PRI",0.01,"NON-ROAD",2005
"14557493","24510","2267006015","PM25-PRI",0.01,"NON-ROAD",2005
"14557497","24510","2267006025","PM25-PRI",0.02,"NON-ROAD",2005
"14557501","24510","2267006030","PM25-PRI",0.0002818185,"NON-ROAD",2005
"14557505","24510","2267006035","PM25-PRI",0.0002788283,"NON-ROAD",2005
"14557509","24510","2268003020","PM25-PRI",0.12,"NON-ROAD",2005
"14557513","24510","2268003030","PM25-PRI",0.0001438932,"NON-ROAD",2005
"14557517","24510","2268003040","PM25-PRI",7.83812e-05,"NON-ROAD",2005
