"fips","SCC","Pollutant","Emissions","type","year"
"10005","10100202","PM25-PRI",986.659,"POINT",1999
"10005","10200202","PM25-PRI",3.293,"POINT",1999
"10005","2102002000","PM25-PRI",0.627,"NONPOINT",1999
"10005","2103001000","PM25-PRI",0.108,"NONPOINT",1999
"10005","2103002000","PM25-PRI",10.448,"NONPOINT",1999
"11001","10300209","PM25-PRI",121.602,"POINT",1999
"11001","2102002000","PM25-PRI",0.03,"NONPOINT",1999
"11001","2103002000","PM25-PRI",8.804,"NONPOINT",1999
"24001","10200203","PM25-PRI",176.23,"POINT",1999
"24001","10200212","PM25-PRI",97.261,"POINT",1999
"24001","2103002000","PM25-PRI",1629.523,"NONPOINT",1999
"24003","10100201","PM25-PRI",327.364,"POINT",1999
"24003","10100202","PM25-PRI",3076.235,"POINT",1999
"24003","2103002000","PM25-PRI",0,"NONPOINT",1999
"24005","10100203","PM25-PRI",1751.971,"POINT",1999
"24005","2103002000","PM25-PRI",0.928,"NONPOINT",1999
"24009","2103002000","PM25-PRI",0,"NONPOINT",1999
"24011","2103002000","PM25-PRI",0.305,"NONPOINT",1999
"24013","2103002000","PM25-PRI",587.321,"NONPOINT",1999
"24015","2103002000","PM25-PRI",0,"NONPOINT",1999
"24017","10100212","PM25-PRI",6126.268,"POINT",1999
"24017","2103002000","PM25-PRI",149.814,"NONPOINT",1999
"24019","2103002000","PM25-PRI",0.509,"NONPOINT",1999
"24021","2103002000","PM25-PRI",282.535,"NONPOINT",1999
"24023","2103002000","PM25-PRI",1.38,"NONPOINT",1999
"24025","2103002000","PM25-PRI",0,"NONPOINT",1999
"24027","2103002000","PM25-PRI",0,"NONPOINT",1999
"24029","2103002000","PM25-PRI",0,"NONPOINT",1999
"24031","10100212","PM25-PRI",2281.711,"POINT",1999
"24031","2103002000","PM25-PRI",0.611,"NONPOINT",1999
"24033","10100212","PM25-PRI",3835.908,"POINT",1999
"24033","2103002000","PM25-PRI",0,"NONPOINT",1999
"24035","2103002000","PM25-PRI",0,"NONPOINT",1999
"24037","2103002000","PM25-PRI",0,"NONPOINT",1999
"24039","2103002000","PM25-PRI",0.034,"NONPOINT",1999
"24041","2103002000","PM25-PRI",0,"NONPOINT",1999
"24043","10100202","PM25-PRI",7.743,"POINT",1999
"24043","10100212","PM25-PRI",153.554,"POINT",1999
"24043","2103002000","PM25-PRI",278.237,"NONPOINT",1999
"24045","2103002000","PM25-PRI",0,"NONPOINT",1999
"24047","2103002000","PM25-PRI",0,"NONPOINT",1999
"24510","2103002000","PM25-PRI",1.029,"NONPOINT",1999
"01001","10200204","PM25-PRI",5.637,"POINT",1999
"01001","2102002000","PM25-PRI",0.066,"NONPOINT",1999
"01001","2103001000","PM25-PRI",0.086,"NONPOINT",1999
"01001","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"01003","10100101","PM25-PRI",0.135,"POINT",1999
"01003","2102002000","PM25-PRI",0.373,"NONPOINT",1999
"01003","2103001000","PM25-PRI",0.041,"NONPOINT",1999
"01003","2103002000","PM25-PRI",0.023,"NONPOINT",1999
"01005","2102002000","PM25-PRI",0.132,"NONPOINT",1999
"01005","2103001000","PM25-PRI",0.075,"NONPOINT",1999
"01005","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"01007","2102002000","PM25-PRI",0.085,"NONPOINT",1999
"01007","2103001000","PM25-PRI",0.022,"NONPOINT",1999
